439|9|2|0|0|1.08|7312.95
447|40|2|0|1|0.47|4986.40
523|32|2|0|1|0.65|2490.23
702|59|2|0|1|1.13|48162.22
797|59|1|0|1|7.51|19987.12
797|68|1|0|0|2.39|4743.64
812|68|1|0|0|0.57|3368.27
917|59|1|0|1|1.28|3065.54
966|32|2|0|1|0.66|3232.86
1022|17|2|0|1|0.47|3823.62
1133|17|2|0|1|0.10|4160.27
1142|59|1|0|1|0.85|1314.93
1190|59|2|0|1|2.46|13129.08
1270|9|2|0|0|2.48|8582.74
1270|94|2|0|0|0.37|8321.78
1554|32|2|0|1|0.06|3865.70
1592|32|2|0|1|3.66|5130.55
1777|59|1|0|1|0.29|440.13
2083|15|2|0|1|2.80|12255.60
2083|26|2|0|1|8.09|16875.37
2083|52|2|0|1|3.31|9961.44
2083|59|1|0|1|7.94|14467.60
2360|59|2|0|1|6.24|8397.96
2486|68|1|0|0|1.36|7913.47
2584|52|1|0|1|0.98|3290.03
2716|26|2|0|1|3.76|20930.03
2821|59|2|0|1|3.12|19324.86
2874|87|1|0|0|0.12|883.17
2891|59|1|0|1|0.47|4952.92
2913|52|2|0|1|1.33|7002.91
2916|17|1|0|1|3.73|7801.31
2916|32|2|0|1|2.26|12540.68
2916|59|2|0|1|1.26|8655.18
3014|17|1|0|1|0.42|846.69
3032|59|1|0|1|0.22|525.88
3091|81|1|0|1|3.91|25077.87
3316|68|1|0|0|0.67|999.32
3494|59|1|0|1|0.22|1205.48
3555|59|1|0|1|2.45|10004.58
3643|40|2|0|1|1.28|8097.02
3710|59|1|0|1|0.54|1663.84
3931|17|1|0|1|1.22|3065.04
4024|15|2|0|1|0.66|14957.75
4024|32|2|0|1|21.11|43667.60
4024|40|2|0|1|18.17|33723.52
4024|52|2|0|1|8.07|23417.01
4024|59|2|0|1|13.86|18562.20
4024|81|2|0|1|13.86|28694.08
4024|87|2|0|0|11.92|38565.97
4052|17|2|0|1|4.68|15954.27
4377|9|2|0|0|1.78|6736.98
4926|32|2|0|1|1.18|6819.18
4990|15|2|0|1|1.51|5999.16
5062|9|2|0|0|0.03|869.86
5062|59|2|0|1|0.05|865.74
5142|17|2|0|1|0.32|1556.64
5142|52|2|0|1|0.73|2752.79
5142|59|2|0|1|0.59|1545.90
5377|40|2|0|1|1.65|4690.99
5380|40|2|0|1|1.28|7612.67
5462|81|1|0|1|0.43|1908.85
5498|15|2|0|1|1.10|5407.99
5498|23|2|0|1|0.91|5349.25
5548|59|2|0|1|0.28|3328.63
5638|59|1|0|1|0.49|950.99
5696|59|1|0|1|7.62|10410.73
5760|40|2|0|1|1.18|6699.49
5844|26|2|0|1|1.81|12679.55
5897|15|2|0|1|2.13|14837.32
6132|52|2|0|1|0.11|2248.57
6307|17|1|0|1|1.18|5504.97
6454|94|2|0|0|4.79|10904.20
6732|59|1|0|1|0.16|846.10
6950|59|2|0|1|0.03|828.13
7104|9|2|0|0|0.50|3944.66
8269|32|2|0|1|1.54|11580.79
8623|26|2|0|1|0.57|4640.99
8690|43|2|0|0|0.50|5272.04
8954|32|2|0|1|0.76|3802.79
8982|17|2|0|1|0.66|4218.83
8986|59|2|0|1|0.40|1521.90
9006|59|2|0|1|1.43|4567.80
9086|26|2|0|1|0.78|2977.40
9086|52|2|0|1|0.78|4116.21
9158|9|2|0|0|2.06|6478.61
9209|59|2|0|1|0.68|2272.94
9270|15|2|0|1|3.30|14950.08
9270|94|2|0|0|1.12|8503.45
9474|68|1|0|0|0.15|753.51
9594|59|1|0|1|0.13|716.54
9609|17|1|0|1|0.80|2619.18
9613|55|2|0|1|2.36|10413.82
9925|26|2|0|1|4.89|20371.27
9944|17|2|0|1|1.91|13940.55
9944|32|2|0|1|0.90|5660.83
10091|87|1|0|0|0.51|3714.24
10117|59|2|0|1|0.41|3870.24
10133|17|2|0|1|0.91|5890.90
10376|9|2|0|0|9.80|16204.97
10376|59|2|0|1|10.31|10741.63
10547|15|2|0|1|1.41|5739.56
10999|32|2|0|1|0.73|3797.80
11208|40|2|0|1|3.46|29528.27
11220|15|2|0|1|1.81|14432.43
11220|87|2|0|0|2.02|14798.28
11395|17|1|0|1|5.28|18239.27
11395|59|1|0|1|4.57|7528.32
11395|59|2|0|1|4.57|25463.42
11536|32|2|0|1|1.26|9202.76
11559|17|1|0|1|0.43|3159.42
11587|9|2|0|0|7.92|12470.95
11587|59|2|0|1|3.01|9232.43
12086|87|1|0|0|3.12|4262.40
12136|59|2|0|1|0.02|6022.77
12574|32|2|0|1|1.66|11256.70
12592|59|1|0|1|0.08|411.18
12622|17|2|0|1|1.31|7802.54
12869|87|2|0|0|3.90|22477.62
12869|94|2|0|0|3.04|15874.55
12930|40|1|0|1|0.87|2476.35
12970|17|1|0|1|0.60|2148.75
13040|9|2|0|0|2.96|18628.17
13054|15|2|0|1|1.95|13140.60
13054|59|2|0|1|1.38|5606.65
13054|81|2|0|1|1.38|5909.15
13154|15|2|0|1|2.67|7629.56
13199|68|1|0|0|0.21|2039.42
13303|32|2|0|1|0.82|6076.79
13313|17|2|0|1|1.85|4544.15
13313|32|2|0|1|4.57|16297.35
13333|94|2|0|0|1.46|10203.95
13439|32|2|0|1|1.40|5618.79
13450|17|1|0|1|1.17|4393.25
13488|15|1|0|1|0.16|1546.76
13581|17|1|0|1|1.76|9353.45
13708|52|2|0|1|1.13|7326.79
13733|59|1|0|1|1.96|4181.98
13751|52|2|0|1|4.83|29715.01
13822|59|2|0|1|0.42|2785.01
13847|87|1|0|0|0.98|6985.26
13871|17|1|0|1|1.50|4149.08
13871|32|2|0|1|1.05|8741.24
13871|59|1|0|1|1.41|3945.59
13871|68|1|0|0|0.72|5274.50
13981|68|1|0|0|4.51|15000.06
14470|17|2|0|1|2.79|14122.66
14470|32|2|0|1|6.13|59758.75
14470|59|2|0|1|0.78|5167.10
14671|17|2|0|1|0.03|5862.73
14735|26|2|0|1|1.39|6124.27
14843|43|2|0|0|2.73|9315.23
14843|62|2|0|0|9.67|19225.41
14843|87|2|0|0|10.72|45098.57
15071|81|2|0|1|1.61|11577.71
15217|23|2|0|1|2.33|11592.91
15217|32|2|0|1|2.13|9602.02
15217|87|2|0|0|3.46|8502.53
15228|81|2|0|1|0.73|3934.55
15328|59|2|0|1|0.40|1472.26
15443|87|1|0|0|0.37|1770.76
15770|32|2|0|1|0.37|3229.13
16282|59|2|0|1|0.75|3480.97
16355|17|2|0|1|0.03|3684.97
16488|32|2|0|1|2.74|10833.71
